target distance, reaction time, accuracy
5,-1,0.5200259
5,-1,0.7276368
5,-1,0.7104857
5,-1,0.6979399
5,-1,0.728358
5,-1,0.700487
5,-1,0.6746534
5,-1,0.7491313
5,-1,0.6148803
5,-1,0.6834752
5,-1,0.4944606
5,-1,0.5008551
5,-1,0.5215423
5,-1,0.5227069
5,-1,0.4331002
5,-1,0.8885124
5,-1,0.4931248
5,-1,0.603897
5,-1,0.4686774
5,-1,0.406019
5,-1,0.7383749
5,-1,0.6958728
5,-1,0.7160705
5,-1,0.7043155
5,-1,0.7559563
5,-1,0.8142002
5,-1,0.7512387
5,-1,0.7581714
5,-1,0.8124483
5,-1,0.5372311
5,-1,0.4046686
5,-1,0.8670557
5,-1,0.6415338
25,-1,0.6482114
25,-1,0.2641032
25,-1,0.5295737
25,-1,0.7561391
25,-1,0.7478565
25,-1,0.5480901
25,-1,0.328639
25,-1,0.2085903
25,-1,0.1854303
25,-1,0.1182775
25,-1,0.5599003
25,-1,0.2102482
25,-1,0.2217689
25,-1,0.2328103
25,-1,0.004020751
25,-1,0.356903
2,-1,0.4556727
3,-1,0.7261207
3,-1,0.5654503
3,-1,0.7421347
3,-1,0.8603163
5,1.930519,0.5539263
5,2.845558,0.7962239
5,2.33345,0.1106001
15,4.958069,0.191067
15,3.749634,0.22686
15,2.041656,0.3899212
25,4.805893,0.9443277
25,3.277649,0.7740303
25,2.833069,0.1163414
25,-1,0.4647068
25,-1,0.4051557
25,-1,0.09382254
5,2.861053,0.6873431
5,3.208405,0.3030344
5,2.624878,0.4321272
5,2.458557,0.5901674
15,2.791626,0.3076447
15,2.041992,0.1971079
15,2.69104,0.2634515
15,2.985901,0.1876794
15,2.805298,0.4701065
15,-1,0.5126302
15,-1,0.3674555
15,-1,0.6504465
15,-1,0.7874044
15,-1,0.9758892
15,-1,0.8575172
15,-1,0.589105
15,-1,0.08696461
